,Saguaro ID,2013 Measurement,2015 Measurement,2020 Measurement,2013 - 2015 Avg. Growth Rate,2015 - 2020 Avg. Growth Rate
476,2012-0214-01-38,17.7,19.0,20.4,0.65,0.7
477,2012-0214-01-39,1.2,2.0,3.0,0.4,0.5
478,2012-0214-01-4,12.7,12.9,13.8,0.1,0.45
479,2012-0214-01-40,0.7,1.1,1.7,0.2,0.3
480,2012-0214-01-41,0.93,1.46,2.0,0.265,0.27
481,2012-0214-01-42,0.91,1.5,2.5,0.295,0.5
483,2012-0214-01-44,1.0,1.15,1.8,0.075,0.325
484,2012-0214-01-45,1.14,1.71,2.5,0.285,0.395
485,2012-0214-01-46,12.3,13.4,15.1,0.55,0.85
486,2012-0214-01-47,11.7,12.6,13.8,0.45,0.6
487,2012-0214-01-48,9.6,10.3,11.3,0.35,0.5
488,2012-0214-01-49,19.6,20.8,21.9,0.6,0.55
489,2012-0214-01-5,20.0,20.3,20.6,0.15,0.15
491,2012-0214-01-6,18.1,18.9,20.9,0.4,1.0
492,2012-0214-01-7,16.2,17.3,18.7,0.55,0.7
493,2012-0214-01-9,18.1,18.7,20.8,0.3,1.05
497,2012-0254-01-12,11.9,11.4,11.7,-0.25,0.15
503,2012-0254-01-18,12.4,13.2,14.4,0.4,0.6
504,2012-0254-01-19,12.4,13.9,14.9,0.75,0.5
506,2012-0254-01-20,18.8,19.9,20.1,0.55,0.1
507,2012-0254-01-21,12.8,13.0,14.8,0.1,0.9
508,2012-0254-01-22,13.8,14.3,16.0,0.25,0.85
509,2012-0254-01-23,16.5,17.0,18.2,0.25,0.6
510,2012-0254-01-24,12.4,12.8,13.3,0.2,0.25
511,2012-0254-01-25,10.3,10.5,10.2,0.1,-0.15
512,2012-0254-01-26,14.1,14.8,15.8,0.35,0.5
513,2012-0254-01-27,10.8,11.4,12.6,0.3,0.6
515,2012-0254-01-29,18.7,19.3,19.7,0.3,0.2
516,2012-0254-01-3,13.1,13.8,15.7,0.35,0.95
525,2012-0254-01-38,3.19,3.25,3.6,0.03,0.175
527,2012-0254-01-4,16.8,17.5,18.4,0.35,0.45
535,2012-0254-01-48,17.6,19.3,19.6,0.85,0.15
536,2012-0254-01-49,8.7,9.1,10.1,0.2,0.5
537,2012-0254-01-5,15.6,16.7,18.2,0.55,0.75
538,2012-0254-01-50,11.9,12.7,13.3,0.4,0.3
540,2012-0254-01-7,10.2,10.6,11.6,0.2,0.5
541,2012-0254-01-8,15.0,15.0,14.4,0.0,-0.3
543,2012-0280-01-1,17.8,17.8,18.7,0.0,0.45
558,2012-0280-01-25,11.8,12.4,14.1,0.3,0.85
567,2012-0280-01-35,17.3,17.55,18.4,0.125,0.425
570,2012-0280-01-38,17.9,17.9,18.4,0.0,0.25
571,2012-0280-01-39,11.6,12.43,13.0,0.415,0.285
573,2012-0280-01-40,17.7,18.52,18.6,0.41,0.04
577,2012-0280-01-45,17.8,19.01,19.7,0.605,0.345
584,2012-0280-01-7,1.1,1.46,3.5,0.18,1.02
586,2012-0280-01-9,19.15,20.3,21.8,0.575,0.75
587,2012-0282-01-2,9.1,9.1,12.3,0.0,1.6
616,2012-0307-01-35,11.8,13.42,14.2,0.81,0.39
617,2012-0307-01-36,13.6,15.03,16.2,0.715,0.585
618,2012-0307-01-37,18.7,16.88,18.2,-0.91,0.66
619,2012-0307-01-38,15.7,16.71,18.6,0.505,0.945
620,2012-0307-01-39,13.7,14.97,15.6,0.635,0.315
622,2012-0307-01-40,17.2,18.59,19.5,0.695,0.455
623,2012-0307-01-41,20.0,21.22,22.2,0.61,0.49
624,2012-0307-01-42,16.8,18.09,18.8,0.645,0.355
625,2012-0307-01-43,12.8,14.18,14.9,0.69,0.36
626,2012-0307-01-44,16.0,17.14,17.8,0.57,0.33
628,2012-0307-01-46,16.5,17.4,18.3,0.45,0.45
629,2012-0307-01-47,17.6,19.24,20.9,0.82,0.83
630,2012-0307-01-48,16.3,17.14,18.3,0.42,0.58
639,2012-0312-01-10,0.83,1.2,2.3,0.185,0.55
645,2012-0312-01-16,19.9,20.85,20.2,0.475,-0.325
646,2012-0312-01-17,20.0,21.05,21.7,0.525,0.325
647,2012-0312-01-18,10.5,11.2,12.3,0.35,0.55
648,2012-0312-01-19,17.7,18.2,19.8,0.25,0.8
650,2012-0312-01-20,15.3,16.4,17.6,0.55,0.6
651,2012-0312-01-21,18.25,18.35,20.0,0.05,0.825
652,2012-0312-01-22,16.8,17.95,19.4,0.575,0.725
653,2012-0312-01-23,15.2,16.0,16.3,0.4,0.15
654,2012-0312-01-24,11.3,12.15,14.5,0.425,1.175
655,2012-0312-01-25,20.7,21.55,23.5,0.425,0.975
656,2012-0312-01-26,17.4,17.35,19.1,-0.025,0.875
657,2012-0312-01-27,18.4,18.7,20.2,0.15,0.75
658,2012-0312-01-28,12.5,13.25,15.2,0.375,0.975
661,2012-0312-01-30,17.4,18.8,19.9,0.7,0.55
662,2012-0312-01-31,11.9,12.7,14.6,0.4,0.95
663,2012-0312-01-32,14.2,15.8,17.9,0.8,1.05
664,2012-0312-01-33,16.2,16.5,17.8,0.15,0.65
665,2012-0312-01-34,16.1,16.7,17.5,0.3,0.4
666,2012-0312-01-35,12.3,13.2,14.5,0.45,0.65
669,2012-0312-01-38,13.7,14.75,17.0,0.525,1.125
670,2012-0312-01-39,6.5,6.9,7.4,0.2,0.25
671,2012-0312-01-4,21.6,22.6,24.3,0.5,0.85
672,2012-0312-01-40,13.1,14.0,15.5,0.45,0.75
677,2012-0312-01-45,12.7,14.1,16.3,0.7,1.1
682,2012-0312-01-5,15.25,16.71,18.3,0.73,0.795
684,2012-0312-01-6,17.0,17.53,18.6,0.265,0.535
685,2012-0312-01-7,21.25,22.65,23.6,0.7,0.475
686,2012-0312-01-8,13.4,12.45,14.3,-0.475,0.925
688,2012-0313-01-1,13.1,13.85,14.6,0.375,0.375
689,2012-0313-01-10,15.6,16.65,17.7,0.525,0.525
690,2012-0313-01-11,17.1,17.85,18.8,0.375,0.475
691,2012-0313-01-12,14.8,15.5,16.1,0.35,0.3
692,2012-0313-01-13,14.7,15.2,159.0,0.25,71.9
693,2012-0313-01-14,11.6,11.95,12.7,0.175,0.375
694,2012-0313-01-15,11.8,11.6,12.6,-0.1,0.5
699,2012-0313-01-2,12.8,13.4,15.0,0.3,0.8
708,2012-0313-01-28,0.58,1.02,1.7,0.22,0.34
709,2012-0313-01-29,1.42,1.94,3.2,0.26,0.63
710,2012-0313-01-3,17.7,18.9,20.5,0.6,0.8
711,2012-0313-01-30,22.0,23.0,25.4,0.5,1.2
712,2012-0313-01-31,13.3,14.4,15.4,0.55,0.5
713,2012-0313-01-32,13.5,14.7,16.1,0.6,0.7
714,2012-0313-01-33,16.1,16.9,17.7,0.4,0.4
715,2012-0313-01-34,21.1,22.75,24.4,0.825,0.825
716,2012-0313-01-35,9.0,9.45,9.7,0.225,0.125
721,2012-0313-01-4,21.2,23.0,24.6,0.9,0.8
723,2012-0313-01-41,18.2,18.95,19.7,0.375,0.375
724,2012-0313-01-42,23.6,24.5,25.8,0.45,0.65
725,2012-0313-01-43,17.7,18.2,18.7,0.25,0.25
726,2012-0313-01-44,8.8,9.3,11.1,0.25,0.9
729,2012-0313-01-47,14.9,15.0,16.3,0.05,0.65
730,2012-0313-01-48,19.2,19.6,21.1,0.2,0.75
731,2012-0313-01-49,10.4,10.9,12.6,0.25,0.85
732,2012-0313-01-5,14.9,15.55,16.9,0.325,0.675
734,2012-0313-01-6,15.8,16.3,17.8,0.25,0.75
735,2012-0313-01-7,11.2,12.0,12.8,0.4,0.4
736,2012-0313-01-8,23.4,25.15,25.9,0.875,0.375
737,2012-0313-01-9,18.0,18.85,20.3,0.425,0.725
742,2012-0314-01-13,13.5,15.0,15.9,0.75,0.45
743,2012-0314-01-14,17.1,16.8,18.3,-0.15,0.75
744,2012-0314-01-15,12.7,13.8,15.6,0.55,0.9
745,2012-0314-01-16,15.6,16.2,17.8,0.3,0.8
746,2012-0314-01-17,16.8,17.85,19.0,0.525,0.575
747,2012-0314-01-18,15.65,16.7,18.2,0.525,0.75
748,2012-0314-01-19,15.45,15.9,16.5,0.225,0.3
749,2012-0314-01-20,3.9,4.6,5.8,0.35,0.6
751,2012-0314-01-22,14.4,16.2,17.4,0.9,0.6
752,2012-0314-01-23,15.6,16.7,17.5,0.55,0.4
753,2012-0314-01-24,11.0,11.65,11.7,0.325,0.025
754,2012-0314-01-25,6.7,6.74,7.0,0.02,0.13
755,2012-0314-01-26,21.4,21.91,21.8,0.255,-0.055
756,2012-0314-01-27,20.4,21.7,22.2,0.65,0.25
757,2012-0314-01-28,14.7,15.4,15.3,0.35,-0.05
758,2012-0314-01-29,16.5,16.0,18.6,-0.25,1.3
760,2012-0314-01-30,12.2,13.4,15.3,0.6,0.95
761,2012-0314-01-31,7.3,8.05,9.8,0.375,0.875
762,2012-0314-01-32,16.7,18.1,18.9,0.7,0.4
810,2012-0315-01-32,13.0,14.0,15.4,0.5,0.7
825,2012-0315-01-48,3.25,3.08,3.4,-0.085,0.16
826,2012-0315-01-49,4.1,4.9,6.1,0.4,0.6
833,2013-0012-01-1,4.4,4.69,5.7,0.145,0.505
834,2013-0012-01-10,17.4,18.55,20.1,0.575,0.775
835,2013-0012-01-11,12.1,12.75,14.1,0.325,0.675
836,2013-0012-01-12,13.2,13.5,14.3,0.15,0.4
837,2013-0012-01-13,5.6,5.85,6.5,0.125,0.325
838,2013-0012-01-14,14.9,16.2,18.1,0.65,0.95
839,2013-0012-01-15,13.7,15.15,17.3,0.725,1.075
840,2013-0012-01-16,8.8,10.6,12.6,0.9,1.0
841,2013-0012-01-17,8.1,9.1,10.9,0.5,0.9
842,2013-0012-01-18,8.2,9.15,10.8,0.475,0.825
844,2013-0012-01-2,5.2,8.75,9.7,1.775,0.475
845,2013-0012-01-20,4.9,5.4,6.4,0.25,0.5
846,2013-0012-01-21,4.9,5.33,6.2,0.215,0.435
847,2013-0012-01-22,5.5,6.4,6.6,0.45,0.1
848,2013-0012-01-23,14.1,15.0,17.4,0.45,1.2
849,2013-0012-01-24,13.1,15.25,17.7,1.075,1.225
851,2013-0012-01-4,14.4,14.5,15.7,0.05,0.6
852,2013-0012-01-5,14.1,14.48,14.9,0.19,0.21
853,2013-0012-01-6,3.9,4.75,7.0,0.425,1.125
854,2013-0012-01-7,12.5,13.35,14.9,0.425,0.775
